subject,trial,rank,mean_pred_label,mean_raw_score,pct_high_attn,pct_low_attn,recommended
4,6,4,0.384,0.688,0.7,62.3,False
4,4,5,0.481,0.6846,14.8,66.7,False
4,3,6,0.942,0.68,28.3,34.1,False
4,5,7,0.991,0.6814,25.4,26.3,False
4,11,8,0.993,0.679,15.6,16.3,False
4,12,9,1.014,0.6792,27.5,26.1,False
4,9,10,1.254,0.6761,49.3,23.9,False
4,14,11,1.442,0.6742,60.0,15.8,False
4,2,12,1.508,0.6784,50.8,0.0,False
4,8,13,1.705,0.6727,73.1,2.6,False
4,0,14,1.717,0.6677,74.6,2.9,False
4,13,15,1.725,0.6633,75.4,2.9,False
5,0,1,0.196,0.7253,0.0,80.4,True
5,11,2,0.23,0.7281,0.0,77.0,True
5,10,3,0.449,0.7239,7.2,62.3,True
5,4,4,0.685,0.7228,10.2,41.7,False
5,6,5,0.783,0.701,21.0,42.8,False
5,12,6,0.812,0.6975,23.2,42.0,False
5,7,7,0.913,0.7052,31.7,40.5,False
5,9,8,0.964,0.7023,32.6,36.2,False
5,5,9,0.965,0.7158,20.2,23.7,False
5,8,10,1.058,0.7079,19.2,13.5,False
5,14,11,1.117,0.7009,25.8,14.2,False
5,13,12,1.326,0.6968,33.3,0.7,False
5,2,13,1.625,0.6862,62.5,0.0,False
5,1,14,1.667,0.6924,66.7,0.0,False
5,3,15,1.732,0.6702,81.9,8.7,False
6,2,1,0.183,0.6606,6.7,88.3,True
6,10,2,0.196,0.6604,0.0,80.4,True
6,1,3,0.267,0.662,0.0,73.3,True
6,7,4,0.444,0.6602,14.3,69.8,False
6,11,5,0.644,0.6472,1.5,37.0,False
6,6,6,0.71,0.6503,5.1,34.1,False
6,4,7,0.806,0.6575,29.6,49.1,False
6,3,8,0.841,0.6485,33.3,49.3,False
6,14,9,0.917,0.6468,21.7,30.0,False
6,12,10,1.087,0.6457,46.4,37.7,False
6,5,11,1.289,0.6368,43.9,14.9,False
6,13,12,1.42,0.639,42.0,0.0,False
6,0,13,1.797,0.6538,79.7,0.0,False
6,8,14,1.827,0.6337,82.7,0.0,False
6,9,15,2.0,0.6223,100.0,0.0,False
7,2,1,0.233,0.7129,4.2,80.8,True
7,5,2,0.254,0.7071,0.0,74.6,True
7,0,3,0.587,0.7099,2.9,44.2,True
7,4,4,0.806,0.6983,32.4,51.9,False
7,12,5,0.899,0.695,23.9,34.1,False
7,6,6,0.92,0.7029,23.2,31.2,False
7,8,7,0.923,0.6919,14.7,22.4,False
7,1,8,0.97,0.7064,31.1,34.1,False
7,9,9,1.152,0.6899,28.3,13.0,False
7,13,10,1.174,0.6951,21.0,3.6,False
7,11,11,1.252,0.6956,45.9,20.7,False
7,3,12,1.29,0.7008,38.4,9.4,False
7,7,13,1.317,0.6971,46.8,15.1,False
7,10,14,1.319,0.6921,60.1,28.3,False
7,14,15,1.483,0.6915,48.3,0.0,False
8,1,1,0.452,0.714,11.9,66.7,True
8,7,2,0.468,0.7152,8.7,61.9,True
8,10,3,0.529,0.7194,13.8,60.9,True
8,8,4,0.532,0.7145,0.0,46.8,False
8,0,5,0.783,0.7123,21.7,43.5,False
8,4,6,0.861,0.707,17.6,31.5,False
8,12,7,0.906,0.7133,23.2,32.6,False
8,2,8,0.942,0.7154,33.3,39.2,False
8,6,9,0.986,0.7155,0.7,2.2,False
8,3,10,0.993,0.7121,28.3,29.0,False
8,9,11,1.304,0.7009,30.4,0.0,False
8,13,12,1.384,0.6941,49.3,10.9,False
8,14,13,1.392,0.7136,59.2,20.0,False
8,5,14,1.57,0.6939,77.2,20.2,False
8,11,15,1.704,0.7012,70.4,0.0,False
9,1,1,0.0,0.699,0.0,100.0,True
9,2,2,0.0,0.7002,0.0,100.0,True
9,14,3,0.0,0.7049,0.0,100.0,True
9,7,4,0.008,0.7003,0.0,99.2,False
9,11,5,0.222,0.6912,1.5,79.3,False
9,3,6,0.333,0.6936,2.9,69.6,False
9,4,7,0.657,0.6906,14.8,49.1,False
9,12,8,0.855,0.6862,13.8,28.3,False
9,6,9,0.964,0.6872,5.8,9.4,False
9,10,10,1.014,0.6834,29.0,27.5,False
9,8,11,1.641,0.6739,69.9,5.8,False
9,0,12,1.732,0.6756,73.2,0.0,False
9,5,13,1.763,0.6732,81.6,5.3,False
9,13,14,1.928,0.6633,92.8,0.0,False
9,9,15,2.0,0.6589,100.0,0.0,False
10,5,1,0.518,0.7061,14.9,63.2,True
10,0,2,0.594,0.712,26.1,66.7,True
10,6,3,0.804,0.7007,32.6,52.2,True
10,2,4,0.808,0.7049,15.0,34.2,False
10,9,5,0.899,0.6938,29.7,39.9,False
10,10,6,0.906,0.6892,16.7,26.1,False
10,7,7,0.976,0.6944,30.2,32.5,False
10,3,8,1.022,0.7051,34.1,31.9,False
10,8,9,1.058,0.6953,32.7,26.9,False
10,4,10,1.13,0.7019,38.9,25.9,False
10,14,11,1.133,0.6957,39.2,25.8,False
10,13,12,1.152,0.6877,38.4,23.2,False
10,12,13,1.239,0.6843,57.2,33.3,False
10,1,14,1.281,0.703,46.7,18.5,False
10,11,15,1.422,0.6874,50.4,8.1,False
11,12,1,0.457,0.7122,0.0,54.3,True
11,2,2,0.492,0.7029,6.7,57.5,True
11,7,3,0.603,0.7041,9.5,49.2,True
11,1,4,0.874,0.7037,33.3,45.9,False
11,4,5,0.917,0.7031,10.2,18.5,False
11,13,6,0.92,0.7102,21.0,29.0,False
11,10,7,0.971,0.7038,21.0,23.9,False
11,8,8,0.981,0.7059,1.3,3.2,False
11,3,9,1.014,0.6951,41.3,39.9,False
11,0,10,1.051,0.7077,34.8,29.7,False
11,5,11,1.167,0.7062,36.0,19.3,False
11,9,12,1.275,0.7082,44.2,16.7,False
11,11,13,1.281,0.6977,34.1,5.9,False
11,6,14,1.37,0.6966,42.0,5.1,False
11,14,15,1.725,0.6889,72.5,0.0,False
12,9,1,0.109,0.7215,0.0,89.1,True
12,1,2,0.252,0.6893,0.0,74.8,True
12,4,3,0.278,0.6856,0.0,72.2,True
12,5,4,0.412,0.6786,18.4,77.2,False
12,8,5,0.429,0.6952,15.4,72.4,False
12,0,6,0.674,0.6761,15.2,47.8,False
12,11,7,0.726,0.6715,11.1,38.5,False
12,6,8,0.761,0.657,33.3,57.2,False
12,10,9,0.862,0.6455,39.9,53.6,False
12,7,10,1.214,0.6436,37.3,15.9,False
12,12,11,1.471,0.6366,63.0,15.9,False
12,2,12,1.475,0.6441,65.0,17.5,False
12,3,13,1.478,0.6415,55.1,7.2,False
12,13,14,1.616,0.6362,71.7,10.1,False
12,14,15,1.867,0.6077,86.7,0.0,False
13,11,1,0.111,0.6662,0.0,88.9,True
13,10,2,0.326,0.6674,0.0,67.4,True
13,2,3,0.408,0.6668,14.2,73.3,True
13,7,4,0.413,0.6687,0.0,58.7,False
13,3,5,0.514,0.6597,13.8,62.3,False
13,6,6,0.529,0.6647,3.6,50.7,False
13,14,7,0.783,0.6584,6.7,28.3,False
13,4,8,0.787,0.6604,0.0,21.3,False
13,1,9,0.911,0.6602,23.0,31.9,False
13,12,10,0.949,0.6611,6.5,11.6,False
13,13,11,1.587,0.6553,60.1,1.4,False
13,0,12,1.841,0.6542,84.1,0.0,False
13,9,13,1.906,0.655,90.6,0.0,False
13,8,14,1.929,0.6506,92.9,0.0,False
13,5,15,2.0,0.6502,100.0,0.0,False
14,8,1,0.135,0.704,0.0,86.5,True
14,7,2,0.563,0.7047,0.0,43.7,True
14,1,3,0.689,0.7013,14.1,45.2,True
14,4,4,0.778,0.6995,0.0,22.2,False
14,2,5,0.783,0.701,0.0,21.7,False
14,12,6,0.855,0.7064,22.5,37.0,False
14,0,7,0.942,0.7088,21.7,27.5,False
14,3,8,1.109,0.6966,27.5,16.7,False
14,9,9,1.188,0.7027,34.8,15.9,False
14,13,10,1.297,0.701,42.8,13.0,False
14,6,11,1.362,0.6908,44.2,8.0,False
14,5,12,1.491,0.6952,57.9,8.8,False
14,10,13,1.58,0.6966,63.8,5.8,False
14,11,14,1.622,0.6979,74.8,12.6,False
14,14,15,1.808,0.688,80.8,0.0,False
15,11,1,0.0,0.6758,0.0,100.0,True
15,14,2,0.067,0.6872,0.0,93.3,True
15,2,3,0.108,0.6511,3.3,92.5,True
15,12,4,0.326,0.6752,0.0,67.4,False
15,3,5,0.5,0.6417,10.9,60.9,False
15,10,6,0.696,0.6511,6.5,37.0,False
15,4,7,0.778,0.6294,13.9,36.1,False
15,7,8,0.794,0.6279,20.6,41.3,False
15,6,9,0.877,0.6352,18.8,31.2,False
15,13,10,1.312,0.672,60.9,29.7,False
15,1,11,1.556,0.6393,58.5,3.0,False
15,9,12,1.623,0.6439,73.9,11.6,False
15,8,13,1.686,0.6319,68.6,0.0,False
15,0,14,1.688,0.6382,71.7,2.9,False
15,5,15,1.877,0.6184,91.2,3.5,False
